commodity,feature,importance
Soybean Oil,roll_median_30,0.012241126038134098
Soybean Oil,day,0.011839441955089569
Soybean Oil,volatility_30,0.011620363220572472
Soybean Oil,roll_mean_30,0.011529259383678436
Soybean Oil,inflation_daily,0.010516207665205002
Soybean Oil,month_sin,0.010014967992901802
Soybean Oil,roll_std_30,0.009894135408103466
Soybean Oil,roll_min_14,0.008842814713716507
Soybean Oil,inflation_monthly,0.008187930099666119
Soybean Oil,month,0.008129287511110306
Soybean Oil,roll_min_30,0.007970348931849003
Soybean Oil,pct_change_30,0.007657091598957777
Soybean Oil,lag_3,0.007534464355558157
Soybean Oil,month_cos,0.007387493271380663
Soybean Oil,lag_14,0.007283587008714676
Soybean Oil,roll_min_7,0.007260368205606937
Soybean Oil,lag_2,0.0072008459828794
Soybean Oil,diff_1,0.00637863390147686
Soybean Oil,is_weekend,0.004804526921361685
Soybean Oil,is_month_end,0.004483664873987436
Soybean Oil,quarter,0.001584441401064396
